API Typ,tadir_object,tadir_obj_name,object_type,object_key,software_component,application_component,state,successor_classification,successor_concept_name,successor_tadir_object,successor_tadir_obj_name,successor_object_type,successor_object_name,api_catalog
TIER1,DTEL,CHAR79,DTEL,CHAR79,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR8,DTEL,CHAR8,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,CHAR80,DTEL,CHAR80,SAP_BASIS,BC-ABA,DEPRECATED,0,
TIER1,DTEL,CHAR90,DTEL,CHAR90,SAP_BASIS,BC-SRV-COM,DEPRECATED,0,
TIER1,DTEL,DATS,DTEL,DATS,SAP_BASIS,BC-CCM-ADK,DEPRECATED,0,
TIER1,DTEL,FLAG,DTEL,FLAG,SAP_BASIS,BC-DWB-TOO,DEPRECATED,1,,DTEL,ABAP_BOOLEAN,DTEL,ABAP_BOOLEAN
TIER1,DTEL,GUID,DTEL,GUID,SAP_BASIS,BC-ABA-LA-OBS,DEPRECATED,1,,DTEL,SYSUUID_X16,DTEL,SYSUUID_X16
TIER1,DTEL,LANGU,DTEL,LANGU,SAP_BASIS,BC-DWB-TOO,DEPRECATED,1,,DTEL,SPRAS,DTEL,SPRAS
TIER1,DTEL,NUMC2,DTEL,NUMC2,SAP_BASIS,BC-SRV-BSF-MSH,DEPRECATED,0,
TIER1,DTEL,NUMC3,DTEL,NUMC3,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,NUMC4,DTEL,NUMC4,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DTEL,PCF_BOOLEAN,DTEL,PCF_BOOLEAN,SAP_BASIS,BC-SRV-APS-EXT-FLD,DEPRECATED,1,,DTEL,ABAP_BOOLEAN,DTEL,ABAP_BOOLEAN
